n,s,trials,mean_key_comparisons,stddev_key_comparisons,mean_time_ms,median_time_ms,merge_growth_proxy,insertion_growth_proxy,total_growth_proxy
100000,760,10,10641564.10,29872.89,15.4329,15.4233,703978.49,76000000.00,76703978.49
100000,770,10,10641564.10,29872.89,15.2159,15.1778,702092.58,77000000.00,77702092.58
100000,780,10,10641564.10,29872.89,15.0810,15.0051,700231.02,78000000.00,78700231.02
100000,790,10,20316600.60,23317.05,23.4854,23.4560,698393.16,79000000.00,79698393.16
100000,800,10,20316600.60,23317.05,23.5312,23.6066,696578.43,80000000.00,80696578.43
100000,810,10,20316600.60,23317.05,23.6230,23.6703,694786.24,81000000.00,81694786.24
100000,820,10,20316600.60,23317.05,23.6278,23.6034,693016.04,82000000.00,82693016.04
100000,830,10,20316600.60,23317.05,23.7973,23.7479,691267.29,83000000.00,83691267.29
100000,840,10,20316600.60,23317.05,23.6881,23.7606,689539.50,84000000.00,84689539.50
100000,850,10,20316600.60,23317.05,25.9624,23.7686,687832.14,85000000.00,85687832.14
100000,860,10,20316600.60,23317.05,23.5579,23.5450,686144.76,86000000.00,86686144.76
100000,870,10,20316600.60,23317.05,23.6695,23.6751,684476.89,87000000.00,87684476.89
100000,880,10,20316600.60,23317.05,23.8025,23.7543,682828.08,88000000.00,88682828.08
100000,890,10,20316600.60,23317.05,23.7186,23.6370,681197.89,89000000.00,89681197.89
100000,900,10,20316600.60,23317.05,23.5590,23.5475,679585.93,90000000.00,90679585.93
100000,910,10,20316600.60,23317.05,23.4438,23.4530,677991.77,91000000.00,91677991.77
100000,920,10,20316600.60,23317.05,23.6808,23.6830,676415.04,92000000.00,92676415.04
100000,930,10,20316600.60,23317.05,23.5372,23.4819,674855.36,93000000.00,93674855.36
100000,940,10,20316600.60,23317.05,23.5040,23.5426,673312.35,94000000.00,94673312.35
100000,950,10,20316600.60,23317.05,23.5668,23.5622,671785.68,95000000.00,95671785.68
100000,960,10,20316600.60,23317.05,23.5659,23.5611,670274.99,96000000.00,96670274.99
100000,970,10,20316600.60,23317.05,23.7500,23.6828,668779.95,97000000.00,97668779.95
100000,980,10,20316600.60,23317.05,23.6182,23.5100,667300.25,98000000.00,98667300.25
100000,990,10,20316600.60,23317.05,23.5348,23.5156,665835.58,99000000.00,99665835.58
100000,1000,10,20316600.60,23317.05,23.7349,23.6825,664385.62,100000000.00,100664385.62
